id,addr,catfathername,catname,block,rootid,price_value,date,sq_price_value,area,winloss
640149,1#/F Room B,Cheung Sha Wan,Apollo Building,,2,4460000,20/8/2018,0,,263
640148,3/F Room A,Wong Tai Sin,Ming Fung Mansion,,2,4148000,20/8/2018,0,,
640147,BLOCK B 1/F Room 1,Lai King,Yin Lai Court,BLOCK B,2,5450000,20/8/2018,8876.22,614ft<sup>2</sup>,304
640146,TOWER 1 1#/F Room A,Lai Chi Kok,Banyan Garden,TOWER 1,2,8450000,20/8/2018,12371.89,683ft<sup>2</sup>,182
640145,BLOCK 3 3#/F Room C,Ngau Chi Wan,Scenic View,BLOCK 3,2,7628000,20/8/2018,12650.08,603ft<sup>2</sup>,241
640144,2#/F Room B,Sham Shui Po,Sevilla Crest,,2,4700000,20/8/2018,14826.5,317ft<sup>2</sup>,22
640143,BLOCK 6 1#/F Room A,Ho Man Tin,Parc Palais ,BLOCK 6,2,31000000,20/8/2018,17898.38,1732ft<sup>2</sup>,209
640142,BLOCK B 8/F Room B,Sham Shui Po,Grammy Centre,BLOCK B,2,5300000,20/8/2018,11087.87,478ft<sup>2</sup>,152
640141,TOWER 2 1#/F Room E,Olympic,Park Avenue,TOWER 2,2,14680000,20/8/2018,17968.18,817ft<sup>2</sup>,135
640140,7/F Room MM,To Kwa Wan,Kiu Fat Mansion,,2,4530000,20/8/2018,0,,128
640139,1#/F Room C,Yau Ma Tei,Richview Mansion,,2,4300000,20/8/2018,10997.44,391ft<sup>2</sup>,195
640138,4/F Room 10,Tai Kok Tsui,Chung Kin Building,,2,4160000,20/8/2018,0,,
640137,1#/F Room 5,To Kwa Wan,Lucky Building,,2,7160000,20/8/2018,0,,201
640136,3/F Room A,Cheung Sha Wan,Cheung Wah Court,,2,4360000,20/8/2018,11266.15,387ft<sup>2</sup>,75
640173,BLOCK O 8/F Room 4,Kowloon Bay,Amoy Gardens,BLOCK O,2,5668000,20/8/2018,12794.58,443ft<sup>2</sup>,90
640172,BLOCK B 4/F Room 3,Cheung Sha Wan,Wing Ning Building,BLOCK B,2,3600000,20/8/2018,10557.18,341ft<sup>2</sup>,
640171,CHEUNG TUNG HOUSE 6/F Room 21,San Po Kong,Tung Tau (II) Estate,CHEUNG TUNG HOUSE,2,471900,20/8/2018,0,,
640170,CHEUNG TUNG HOUSE 8/F Room 17,San Po Kong,Tung Tau (II) Estate,CHEUNG TUNG HOUSE,2,738300,20/8/2018,0,,
640169,HOUSE 8 1/F Room 1,Shek Kip Mei,Dynasty Heights,HOUSE 8,2,45500000,20/8/2018,17554.01,2592ft<sup>2</sup>,289
640168,1#/F Room A,Tai Kok Tsui,Pak Sing Building,,2,3300000,20/8/2018,9969.79,331ft<sup>2</sup>,502
640167,1#/F Room D,Sham Shui Po,Shing To Building,,2,3500000,20/8/2018,12635.38,277ft<sup>2</sup>,199
640127,TOWER 5 2#/F Room F,Lai Chi Kok,The Pacifica,TOWER 5,2,9000000,17/8/2018,14263.07,631ft<sup>2</sup>,84
640126,BLOCK A 3#/F Room 10,Mei Foo,Lai Yan Court,BLOCK A,2,7700000,17/8/2018,0,,41
640125,BLOCK C 4/F Room 8,Whampo,Whampoa Building,BLOCK C,2,5050000,17/8/2018,0,,708
640124,TOWER 3 7/F Room G,Kwun Tong,Yue Man Centre,TOWER 3,2,7300000,17/8/2018,10503.6,695ft<sup>2</sup>,204
640123,BLOCK W 1#/F Room 6,Hung Hom,Whampoa Estate,BLOCK W,2,6000000,17/8/2018,13333.33,450ft<sup>2</sup>,315
640122,3/F Room B,Hung Hom,Fook Sing Mansion,,2,5238000,17/8/2018,0,,773
640121,BLOCK 4 3#/F Room B,Mei Foo,Wah Yuen Chuen,BLOCK 4,2,8430000,17/8/2018,0,,234
640120,LAGUNA GRANDE TOWER 18 1#/F Room E,Hung Hom,Laguna Verde,TOWER 18,2,15000000,17/8/2018,12335.53,1216ft<sup>2</sup>,43
640119,BLOCK B 1#/F Room B6,Kwun Tong,Hipway Towers,BLOCK B,2,7000000,17/8/2018,0,,
640118,BLOCK 1 4#/F Room D,Tai Kok Tsui,Metro Harbour View,BLOCK 1,2,6950000,17/8/2018,13789.68,504ft<sup>2</sup>,79
640117,BLOCK D 1#/F Room 5,Kwun Tong,Cheung Wo Court,BLOCK D,2,5560000,17/8/2018,10671.79,521ft<sup>2</sup>,
640116,2#/F Room B,Cheung Sha Wan,The Met. Delight,,2,5490000,17/8/2018,12887.32,426ft<sup>2</sup>,36
640115,1#/F Room D,Wong Tai Sin,Che Wah Building,,2,5330000,17/8/2018,13325,400ft<sup>2</sup>,310
640114,LAI HA HOUSEBLOCK C 1#/F Room 8,Lai King,Yuet Lai Court,LAI HA HOUSEBLOCK C,2,4000000,17/8/2018,6622.52,604ft<sup>2</sup>,14
640113,LAGUNA GRANDE TOWER 20 1#/F Room D,Hung Hom,Laguna Verde,TOWER 20,2,16000000,17/8/2018,14072.12,1137ft<sup>2</sup>,259
640112,BLOCK 1 1#/F Room E,Tai Kok Tsui,GreenField Garden,BLOCK 1,2,4800000,17/8/2018,11455.85,419ft<sup>2</sup>,140
640111,TOWER 6 7/F Room C,Ngau Chi Wan,Aria,TOWER 6,2,14600000,17/8/2018,13212.67,1105ft<sup>2</sup>,98
640110,BLOCK A 1#/F Room A1,Cheung Sha Wan,Hong Fai Building,BLOCK A,2,4330000,17/8/2018,10989.85,394ft<sup>2</sup>,322
640109,5/F Room E,Ngau Tau Kok,Foo On Building,,2,4630000,17/8/2018,0,,
640108,TOWER 5B 1#/F Room D,Wong Tai Sin,Lions Rise,TOWER 5B,2,10200000,17/8/2018,15000,680ft<sup>2</sup>,38
640107,TOWER 8 1#/F Room B,Olympic,Imperial Cullinan,TOWER 8,2,27800000,17/8/2018,21838.18,1273ft<sup>2</sup>,49
640106,TOWER 3 4#/F Room F,Kowloon Station,Sorrento,TOWER 3,2,28500000,17/8/2018,22265.63,1280ft<sup>2</sup>,886
640105,TOWER 2 2#/F Room C,Yau Tong,Peninsula East,TOWER 2,2,8160000,17/8/2018,0,,50
640104,5/F Room D,Kwun Tong,Kwong Sen Mansion,,2,4390000,17/8/2018,0,,
640103,BLOCK 14 2#/F Room E,Lam Tin,Laguna City,BLOCK 14,2,9000000,17/8/2018,10501.75,857ft<sup>2</sup>,233
640102,TOWER 3 4#/F Room E,Olympic,Florient Rise,TOWER 3,2,13800000,17/8/2018,17058.1,809ft<sup>2</sup>,63
640101,THE AUSTIN T5A TOWER 5 8/F Room A,Tsim Sha Tsui,The Austin,T5A TOWER 5,2,23000000,17/8/2018,0,,36
640100,BLOCK U 2#/F Room 10,Kowloon Bay,Telford Garden,BLOCK U,2,7000000,17/8/2018,11824.32,592ft<sup>2</sup>,87
640135,KWAI TUNG HOUSE 1#/F Room 9,San Po Kong,Tung Tau (II) Estate,KWAI TUNG HOUSE,2,788000,17/8/2018,0,,
640134,1#/F Room F,Ho Man Tin,Man Kee Mansion,,2,9800000,17/8/2018,0,,210
640133,TOWER 8 3#/F Room E,Olympic,The Long Beach,TOWER 8,2,9000000,17/8/2018,12362.64,728ft<sup>2</sup>,22
640132,1/F Room 16,Tai Kok Tsui,Chung Wo Building,,2,3980000,17/8/2018,0,,298
640131,1#/F Room H,Cheung Sha Wan,High One,,2,4220000,17/8/2018,0,,11
640130,NO.1 1#/F Room C,Ho Man Tin,Tak Wai Mansion,NO.1,2,12538000,17/8/2018,0,,1154
640129,BLOCK B 1#/F Room 3,Hung Hom,Fok Lin  Building,BLOCK B,2,4500000,17/8/2018,0,,44
640128,BLOCK B 1#/F Room 1,Hung Hom,Whampoa Estate,BLOCK B,2,7180000,17/8/2018,11046.15,650ft<sup>2</sup>,
639846,TOWER 7 2#/F Room G,Ho Man Tin,Mantin Heights,TOWER 7,2,35532900,16/8/2018,0,,
639845,7/F Room C1,Tsim Sha Tsui,Mirador Mansion,,2,5000000,16/8/2018,0,,27
639844,BLOCK B 7/F Room 7,Ngau Tau Kok,Lok Nga Court,BLOCK B,2,5380000,16/8/2018,10286.81,523ft<sup>2</sup>,145
639843,3/F Room B,Jordan,Ho On Mansion,,2,10300000,16/8/2018,0,,758
639842,TOWER 9 3#/F Room E,Olympic,The Long Beach,TOWER 9,2,13500000,16/8/2018,18048.13,748ft<sup>2</sup>,62
639841,1#/F Room A,Cheung Sha Wan,Yee King Court,,2,5130000,16/8/2018,11712.33,438ft<sup>2</sup>,51
639840,TOWER 5 2#/F Room A,Olympic,The Long Beach,TOWER 5,2,21000000,16/8/2018,18750,1120ft<sup>2</sup>,42
639839,CHONG CHIEN COURT BLOCK C 7/F Room 3,To Kwa Wan,Wyler Garden,BLOCK C,2,5980000,16/8/2018,12536.69,477ft<sup>2</sup>,
639838,TOWER 2 7/F Room B,Cheung Sha Wan,Heya Star,TOWER 2,2,7330000,16/8/2018,0,,36
639837,8/F Room E6,Tsim Sha Tsui,Chungking Mansion,,2,6500000,16/8/2018,0,,
639836,BLOCK 36 1#/F Room B,Lam Tin,Laguna City,BLOCK 36,2,8080000,16/8/2018,12546.58,644ft<sup>2</sup>,179
639835,1#/F Room C,Jordan,Ko Kie Building,,2,4400000,16/8/2018,12753.62,345ft<sup>2</sup>,267
639834,7/F Room B,Ho Man Tin,Gay Mansion,,2,9000000,16/8/2018,0,,
639833,APARTMENT NO. 21 8/F Room 21,Ho Man Tin,Celestial Height,APARTMENT NO. 21,2,28880000,16/8/2018,14667.34,1969ft<sup>2</sup>,28
639832,TOWER 1 1#/F Room A,Cheung Sha Wan,Heya Star,TOWER 1,2,12000000,16/8/2018,0,,36
639831,TOWER 5 3#/F Room F,To Kwa Wan,Grand waterfront,TOWER 5,2,8480000,16/8/2018,14495.73,585ft<sup>2</sup>,102
639830,BLOCK 6 3#/F Room C,Lai Chi Kok,Liberte,BLOCK 6,2,11280000,16/8/2018,14082.4,801ft<sup>2</sup>,329
639829,1#/F Room 1,To Kwa Wan,Kan Tong Building,,2,3330000,16/8/2018,0,,316
639828,1#/F Room A,Prince Edward,Kam Tong Building,,2,3580000,16/8/2018,0,,94
639827,3/F Room C,Yau Yat Tsuen,To Yuen Mansion,,2,10280000,16/8/2018,18357.14,560ft<sup>2</sup>,98
639826,BLOCK B 1#/F Room 13,Mei Foo,Lai Yan Court,BLOCK B,2,5600000,16/8/2018,0,,417
639825,TAI WAI BUILDINGBLOCK L 6/F Room 4,Tai Kok Tsui,Cosmopolitan Estate,TAI WAI BUILDINGBLOCK L,2,3900000,16/8/2018,10833.33,360ft<sup>2</sup>,36
639824,BLOCK P 8/F Room 4,Kowloon Bay,Telford Garden,BLOCK P,2,7300000,16/8/2018,12629.76,578ft<sup>2</sup>,174
639823,1#/F Room 174,Sham Shui Po,Man Yui Building,,2,3568000,16/8/2018,0,,410
639822,BLOCK 4 2#/F Room A,Hung Hom,Royal Peninsula,BLOCK 4,2,21730000,16/8/2018,17580.91,1236ft<sup>2</sup>,229
639821,SITE 9 BLOCK 1 2/F Room B,Whampo,Whampoa Garden,BLOCK 1,2,10050000,16/8/2018,13692.1,734ft<sup>2</sup>,80
639820,TOWER 5 1#/F Room G,Hung Hom,Harbour Place,TOWER 5,2,11680000,16/8/2018,15168.83,770ft<sup>2</sup>,93
639819,BLOCK C 1#/F Room 1,Kowloon Bay,Lee Kee Building,BLOCK C,2,5928000,16/8/2018,11555.56,513ft<sup>2</sup>,
639818,1#/F Room F,Mong Kok,Mansun House,,2,4870000,16/8/2018,11878.05,410ft<sup>2</sup>,596
639817,1#/F Room GG,To Kwa Wan,Kiu Fat Mansion,,2,4375000,16/8/2018,0,,415
639816,6/F Room D,To Kwa Wan,Bayview,,2,9600000,16/8/2018,0,,20
639815,BLOCK A 4/F Room A4,Mong Kok,Shun King Building,BLOCK A,2,3220000,16/8/2018,0,,
639814,1#/F Room 3,Mong Kok,Wang On Building,,2,5430000,16/8/2018,0,,93
639813,BLOCK 27 6/F Room E,Lam Tin,Laguna City,BLOCK 27,2,9650000,16/8/2018,11260.21,857ft<sup>2</sup>,148
639812,NO.512 NATHAN 1/F Room REAR,Yau Ma Tei,Nathan Apartments,NO.512 NATHAN,2,5720000,16/8/2018,0,,
